parent,child
Anemias,Microcytic Anemia
Anemias,Normocytic Anemia
Anemias,Macrocytic Anemia
Anemias,Hemolytic Anemias
Hemolytic Anemias,Acquired Hemolytic Anemias
Acquired Hemolytic Anemias,Immune Hemolytic Anemia
Immune Hemolytic Anemia,Drug-Induced Immune Hemolytic Anemia
Hemolytic Anemias,Inherited Hemolytic Anemias
Inherited Hemolytic Anemias,Hereditary Spherocytosis
Inherited Hemolytic Anemias,Pyruvate Kinase Deficiency
Inherited Hemolytic Anemias,Hemoglobinopathies
Hemoglobinopathies,Sickle Cell Disease
Hemoglobinopathies,Thalassemia
Thalassemia,Alpha-Thalassemia
Thalassemia,Beta-Thalassemia
Hemoglobin Disorders,Hemoglobinopathies
Hemoglobinopathies,Sickle Cell Disease
Hemoglobinopathies,Thalassemia
Thalassemia,Alpha-Thalassemia
Thalassemia,Beta-Thalassemia
Hemostasis Disorders,Bleeding and Coagulation Disorders
Bleeding and Coagulation Disorders,Bleeding Disorders in Women
Bleeding Disorders in Women,Disordered Menstrual Bleeding
Bleeding Disorders in Women,Pregnancy and Coagulation Disorders
Bleeding and Coagulation Disorders,Clotting Factor Deficiencies
Clotting Factor Deficiencies,Hemophilia
Hemophilia,Acquired Hemophilia
Hemophilia,Hemophilia A
Hemophilia,Hemophilia B
Hemophilia,Hemophilia C (Factor XI Deficiency)
Hemophilia,Hemophilia-Associated HIV/AIDS
Clotting Factor Deficiencies,Rare Factor Deficiencies
Rare Factor Deficiencies,Inherited Coagulation Factor Deficiencies
Clotting Factor Deficiencies,Von Willebrand Disease
Bleeding and Coagulation Disorders,Disseminated Intravascular Coagulation
Bleeding and Coagulation Disorders,Hypercoagulability in Liver Disease
Bleeding and Coagulation Disorders,Hypercoagulability in Kidney(Renal) Disease
Bleeding and Coagulation Disorders,Platelet Disorders
Platelet Disorders,Inherited Platelet Disorders
Inherited Platelet Disorders,Bernard-Soulier Syndrome
Inherited Platelet Disorders,Congenital Thrombocytopenias
Inherited Platelet Disorders,Glanzmann Thrombasthenia
Platelet Disorders,Thrombocytopenia
Thrombocytopenia,Immune Thrombocytopenia
