parent,child
Biological Therapy/Immunotherapy,Gene and Cellular Therapy
Gene and Cellular Therapy,CAR-T(chimeric antigen receptor t-cell) therapy
Gene and Cellular Therapy,Oncolytic Virotherapy
Breast Cancer,Noninvasive Breast Cancers
Noninvasive Breast Cancers,Ductal Carcinoma In Situ (DCIS)
Breast Cancer,Invasive Breast Cancers
Breast Cancer,Inflammatory Breast Cancer
Breast Cancer,Paget's Disease of the Breast
Breast Cancer,HR+ Breast Cancer
Breast Cancer,HER2+ Breast Cancer
Breast Cancer,Masectomy
Thoracic Oncology,Lung Cancer
Lung Cancer,Small Cell Lung Cancer
Lung Cancer,Non-Small Cell Lung Cancer
Non-Small Cell Lung Cancer,Adenocarcinoma
Non-Small Cell Lung Cancer,Squamous Cell Carcinoma
Non-Small Cell Lung Cancer,Large-Cell Carcinoma
Thoracic Oncology,Mesothilioma
Thoracic Oncology,Thymoma
Gastrointestinal Cancer,Carcinoma of the Stomach/Stomach Cancer
Gastrointestinal Cancer,Pancreatic Cancer
Pancreatic Cancer,Pancreatic Islet-Cell Tumors
Gastrointestinal Cancer,Liver Cancer/Liver Tumors
Liver Cancer/Liver Tumors,Hepatocellular Carcinoma
Liver Cancer/Liver Tumors,Hepatoblastoma
Gastrointestinal Cancer,Cholangiocarcinoma/Bile Duct Cancer
Gastrointestinal Cancer,Colorectal Cancer
Colorectal Cancer,Colon Cancer
Colorectal Cancer,Rectal Cancer
Gastrointestinal Cancer,Anal Cancer
Genitourinary Cancers,Kidney Cancer
Kidney Cancer,Renal Cell Carcinoma
Kidney Cancer,Wilms Tumor
Genitourinary Cancers,Prostate Cancer
Prostate Cancer,Metastatic Prostate Cancer
Genitourinary Cancers,Bladder Cancer
Genitourinary Cancers,Testicular Cancer
Genitourinary Cancers,Penile Cancer
Penile Cancer,Penile Squamous Cell Carcinoma
Gynecologic Cancers,Endometrial Cancer
Gynecologic Cancers,Cervical Cancer
Gynecologic Cancers,Ovarian Cancer
Ovarian Cancer,Ovarian Carcinoma
Ovarian Cancer,Ovarian Germ Cell Tumors
Gynecologic Cancers,Vulvar and Vaginal Cancers
Hematologic Malignancies,Leukemias
Leukemias,Acute Leukemias
Acute Leukemias,Acute Lymphoblastic Leukemia (ALL)
Acute Lymphoblastic Leukemia (ALL),B-cell ALL
Acute Lymphoblastic Leukemia (ALL),T-cell ALL
Acute Leukemias,Acute Myeloid Leukemia
Acute Myeloid Leukemia,Acute Megakaryoblastic Leukemia
Acute Myeloid Leukemia,Acute Promyelocytic Leukemia
Leukemias,Chronic Leukemias
Chronic Leukemias,Chronic Lymphocytic Leukemia
Chronic Leukemias,Chronic Myelogenous Leukemia
Hematologic Malignancies,Lymphomas
Lymphomas,Hodgkin's Lymphoma
Lymphomas,Non-Hodgkin's Lymphoma
Non-Hodgkin's Lymphoma,B-cell Lymphomas
B-cell Lymphomas,Burkitt Lymphoma
Non-Hodgkin's Lymphoma,T-cell Lymphomas
T-cell Lymphomas,Anaplastic Large Cell Lymphoma
Non-Hodgkin's Lymphoma,Cutaneous Lymphomas
Cutaneous Lymphomas,Metastatic Cutaneous Lymphomas
Cutaneous Lymphomas,Cutaneous T-Cell Lymphomas
Cutaneous T-Cell Lymphomas,Mycosis Fungoides
