parent,child
Pulmonary Medicine,Developmental Lung Disease/Congenital Malformations of the Lungs
Developmental Lung Disease/Congenital Malformations of the Lungs,Bronchopulmonary Anomalies
Bronchopulmonary Anomalies,(Broncho)Pulmonary Sequestration
Bronchopulmonary Anomalies,Bronchoesophageal/Trachiobronchial Fistulas
Bronchopulmonary Anomalies,Bronchogenic Cysts
Bronchopulmonary Anomalies,Congenital Cystic Adenomatoid Malformation/Congenital Pulmonary Airway Malformation
Bronchopulmonary Anomalies,Pulmonary Agenesis/Aplasia
Bronchopulmonary Anomalies,Pulmonary Hypoplasia
Developmental Lung Disease/Congenital Malformations of the Lungs,Congenital Diaphragmatic Hernia
Developmental Lung Disease/Congenital Malformations of the Lungs,Pulmonary Vascular Anomalies/Malformations
Pulmonary Vascular Anomalies/Malformations,Arteriovenous Malformations
Pulmonary Vascular Anomalies/Malformations,Hypogenetic/Scimitar Lung Syndrome
Pulmonary Vascular Anomalies/Malformations,Pulmonary Lymphatic Malformations
Pulmonary Lymphatic Malformations,Congenital Pulmonary Lymphangiectasia
Pulmonary Lymphatic Malformations,Congenital Pulmonary Lymphangiomatosis
Developmental Lung Disease/Congenital Malformations of the Lungs,Respiratory Disorders of the Newborn/Neonatal Respiratory Disorders
Respiratory Disorders of the Newborn/Neonatal Respiratory Disorders,Bronchopulmonary Dysplasia
Respiratory Disorders of the Newborn/Neonatal Respiratory Disorders,Chronic Pulmonary Insufficiency of Prematurity
Respiratory Disorders of the Newborn/Neonatal Respiratory Disorders,Gastroesophageal Reflux Disease (GERD)
Respiratory Disorders of the Newborn/Neonatal Respiratory Disorders,Meconium Aspiration Syndrome
Respiratory Disorders of the Newborn/Neonatal Respiratory Disorders,Neonatal Pneumonia
Respiratory Disorders of the Newborn/Neonatal Respiratory Disorders,Neonatal/Newborn Respiratory Distress Syndrome
Respiratory Disorders of the Newborn/Neonatal Respiratory Disorders,Persistent Pulmonary Hypertension of the Newborn
Respiratory Disorders of the Newborn/Neonatal Respiratory Disorders,Pulmonary Air Leak Syndromes
Pulmonary Medicine,Pulmonary Neoplasms
Pulmonary Neoplasms,Lung Cancer
Lung Cancer,Small Cell Carcinoma
Small Cell Carcinoma,combined small cell carcinoma
Lung Cancer,Non Small Cell Carcinoma
Non Small Cell Carcinoma,Large Cell Carcinoma
Non Small Cell Carcinoma,Sqamous Cell Carcinoma/Epidermoid Carcinoma
Non Small Cell Carcinoma,Adenocarcinoma
Adenocarcinoma,Non Bronchioalveolar Carcinoma
Adenocarcinoma,Bronchioalveolar Carcinoma
Lung Cancer,Carcinoid Tumors
Lung Cancer,Pulmonary Sarcoma
Lung Cancer,Pulmonary Carcinosarcoma
Lung Cancer,Parenchymal Leiomyosarcoma
Pulmonary Neoplasms,Metastatic Malignant Tumors in the Lungs
Pulmonary Neoplasms,Benign Lung Tumors
Benign Lung Tumors,Hamartoma
Benign Lung Tumors,Adenoma
Benign Lung Tumors,Chondroma
Benign Lung Tumors,Fibroma
Benign Lung Tumors,Leiomyoma
Benign Lung Tumors,Lipoma
Benign Lung Tumors,Papilloma
Benign Lung Tumors,Kapsoi's Sarcoma
Pulmonary Neoplasms,Lymphoproliferative Disease
Lymphoproliferative Disease,Leukemia
Leukemia,Acute Myelogenous Leukemia
Leukemia,Chronic Myelogenous Leukemia
Lymphoproliferative Disease,Lymphomas
Lymphomas,Hodgkins Lymphoma
Lymphomas,Non Hodgkins Lymphoma
Non Hodgkins Lymphoma,MALT Lymphoma (mucosa-associated lymphoid tissue)
Non Hodgkins Lymphoma,Waldenstrom's Disease/Waldenstrom's Macroglobulinemia
Lymphomas,Lymphomatoid Granulomatosis
Lymphomas,Pulmonary Lymphoid Hyperplasia
Lymphomas,Castleman's Disease
Lymphoproliferative Disease,Plasma Cell Neoplasms
Lymphoproliferative Disease,Histiocytosis X
Pulmonary Medicine,Infectious Diseases of the Lungs/Pulmonary Infection/Infectious Lung Disease
Infectious Diseases of the Lungs/Pulmonary Infection/Infectious Lung Disease,Bacterial Lung Diseases
Bacterial Lung Diseases,Mycobacterial Diseases of the Lungs
Mycobacterial Diseases of the Lungs,Mycobacterium Tuberculosis
Bacterial Lung Diseases,Bacterial Pneumonia
Infectious Diseases of the Lungs/Pulmonary Infection/Infectious Lung Disease,Viral Lung Infections
Viral Lung Infections,Pneumonia
Viral Lung Infections,Bronchitis
Viral Lung Infections,SARS (Severe Acute Respiratory Syndrome)
Viral Lung Infections,Herpes Viruses
Herpes Viruses,Herpes Simplex Virus
Herpes Viruses,Epstein-Barr Virus
Herpes Viruses,Cytomegalovirus
Viral Lung Infections,Hantaviruses (Hemorrhagic Fever Syndromes)
Viral Lung Infections,Influenza Virus
Viral Lung Infections,Parainfluenza Viruses
Viral Lung Infections,Respiratory Synctial Viruses
Infectious Diseases of the Lungs/Pulmonary Infection/Infectious Lung Disease,Fungal Lung Infections
Fungal Lung Infections,Aspergillosis
Fungal Lung Infections,Candidiasis
Infectious Diseases of the Lungs/Pulmonary Infection/Infectious Lung Disease,Parasitic Lung Diseases
Parasitic Lung Diseases,Malaria
Parasitic Lung Diseases,Toxoplasmosis
Pulmonary Medicine,Pleural Disease/Disorders of the Pleura/Disease of the Pleura
Pleural Disease/Disorders of the Pleura/Disease of the Pleura,Pleural Effusion
Pleural Effusion,Empyema
Pleural Effusion,Chylothorax
Pleural Disease/Disorders of the Pleura/Disease of the Pleura,Pneumothorax
Pleural Disease/Disorders of the Pleura/Disease of the Pleura,Hemothorax
Pleural Disease/Disorders of the Pleura/Disease of the Pleura,Fibrothorax/Pleural Fibrosis
Pleural Disease/Disorders of the Pleura/Disease of the Pleura,Tumors of the Pleura/Pleural Neoplasms
Tumors of the Pleura/Pleural Neoplasms,Mesothelioma
Pulmonary Medicine,Mediastinal Disease/Disorders of the Mediastinum
Mediastinal Disease/Disorders of the Mediastinum,Mediastinitis
Mediastinal Disease/Disorders of the Mediastinum,Pneumomediastinum
Mediastinal Disease/Disorders of the Mediastinum,Mediastinal Masses
Mediastinal Masses,Thymic Tumors/Neoplasms/thymoma
Mediastinal Masses,Primary Mediastinal Lymphoma
Mediastinal Masses,Thyroid Tumors/Lesions
Mediastinal Masses,Parathyroid Tumors/Lesions
Mediastinal Masses,Lymph Node Enlargement
Mediastinal Masses,Vascular Abnormalities/Vascular Lesions/Vascular Masses and Enlargements
Mediastinal Masses,Cystic Lesions the Mediastinum
Mediastinal Masses,Neurogenic Mediastinal Tumors
Pulmonary Medicine,Airway Disease/Disease of the Airway/Disorders of the Airway (Obstructive Diseases)
Airway Disease/Disease of the Airway/Disorders of the Airway (Obstructive Diseases),Asthma
Airway Disease/Disease of the Airway/Disorders of the Airway (Obstructive Diseases),Bronchiectasis/Bronchial Abnormalities
Bronchiectasis/Bronchial Abnormalities,Bronchiolithiasis
Bronchiectasis/Bronchial Abnormalities,Bronchial Fistula
Airway Disease/Disease of the Airway/Disorders of the Airway (Obstructive Diseases),Bronchiolitis
Bronchiolitis,Bronchiolitis Obliterans
Bronchiolitis Obliterans,Bronchiolitis Obliterans with Organizing Pneumonia (BOOP)
Bronchiolitis,Respiratory Bronchiolitis
Airway Disease/Disease of the Airway/Disorders of the Airway (Obstructive Diseases),Chronic Obstructive Pulmonary Disease
Chronic Obstructive Pulmonary Disease,Bronchitis
Chronic Obstructive Pulmonary Disease,Emphysema
Airway Disease/Disease of the Airway/Disorders of the Airway (Obstructive Diseases),Cystic Fibrosis
Airway Disease/Disease of the Airway/Disorders of the Airway (Obstructive Diseases),Obstructive Sleep Apnea
Airway Disease/Disease of the Airway/Disorders of the Airway (Obstructive Diseases),Upper Airway Obstruction/Disorders of the Upper Airway
Upper Airway Obstruction/Disorders of the Upper Airway,Acute Upper Airway Obstruction
Upper Airway Obstruction/Disorders of the Upper Airway,Chronic Upper Airway Obstruction/Disorders
Chronic Upper Airway Obstruction/Disorders,Rhinitis
Chronic Upper Airway Obstruction/Disorders,Hypertrophy of Tonsils and Adenoid
Chronic Upper Airway Obstruction/Disorders,Laryngeal Dysfunction/Vocal Cord Dysfunction
Chronic Upper Airway Obstruction/Disorders,Tracheal Obstructions/Problems
Tracheal Obstructions/Problems,Tracheal Stenosis
Tracheal Obstructions/Problems,Tracheal Neoplasms
Tracheal Obstructions/Problems,Relapsing Polychondritis
Tracheal Obstructions/Problems,Tracheobronchopathia Osteochondroplastica
Tracheal Obstructions/Problems,Tracheomalacia
Tracheal Obstructions/Problems,Tracheobronchomegaly
Pulmonary Medicine,Interstitial Lung Disease/Infiltrative Lung Disease/Diffuse Parenchymal Lung Disease/Immunologic Lung Disease
Interstitial Lung Disease/Infiltrative Lung Disease/Diffuse Parenchymal Lung Disease/Immunologic Lung Disease,Idiopathic Pulmonary Fibrosis
Interstitial Lung Disease/Infiltrative Lung Disease/Diffuse Parenchymal Lung Disease/Immunologic Lung Disease,Interstitial Pneumonia
Interstitial Lung Disease/Infiltrative Lung Disease/Diffuse Parenchymal Lung Disease/Immunologic Lung Disease,Organizing Pneumonia/Brionchiolitis Obliterans Organizing Pneumonia
Interstitial Lung Disease/Infiltrative Lung Disease/Diffuse Parenchymal Lung Disease/Immunologic Lung Disease,Connective Tissue Diseases
Connective Tissue Diseases,Ankylosing Spondylitis
Connective Tissue Diseases,Behcet's Disease/Syndrome
Connective Tissue Diseases,Dermatomyositis and Polymyositis
Connective Tissue Diseases,Marfan Syndrome
Connective Tissue Diseases,Mixed Connective Tissue Diseases
Connective Tissue Diseases,Relapsing Polychondritis
Connective Tissue Diseases,Rheumatoid Arthritis/Rheumatoid Disease
Connective Tissue Diseases,Sjorgen's Syndrome
Connective Tissue Diseases,Systemic Lupus Erythematosus (SLE)
Connective Tissue Diseases,Systemic Sclerosis/Scleroderma
Connective Tissue Diseases,Tuberous Sclerosis
Connective Tissue Diseases,Wegener's Granulomatosis
Interstitial Lung Disease/Infiltrative Lung Disease/Diffuse Parenchymal Lung Disease/Immunologic Lung Disease,Sarcoidosis
Interstitial Lung Disease/Infiltrative Lung Disease/Diffuse Parenchymal Lung Disease/Immunologic Lung Disease,Eosinophilic Lung Disease
Interstitial Lung Disease/Infiltrative Lung Disease/Diffuse Parenchymal Lung Disease/Immunologic Lung Disease,Pulmonary Lymphangioleiomyomatosis/Lymphangiomyomatosis/lymphangioleiomyomatosis
Interstitial Lung Disease/Infiltrative Lung Disease/Diffuse Parenchymal Lung Disease/Immunologic Lung Disease,Pulmonary Alveolar Proteinosis
Interstitial Lung Disease/Infiltrative Lung Disease/Diffuse Parenchymal Lung Disease/Immunologic Lung Disease,Neurofibromatosis
Interstitial Lung Disease/Infiltrative Lung Disease/Diffuse Parenchymal Lung Disease/Immunologic Lung Disease,Pulmonary Hemorrhage/Diffuse Alveolar Hemorrhage
Pulmonary Hemorrhage/Diffuse Alveolar Hemorrhage,Drug-induced Alveolar Hemorrhage
Pulmonary Hemorrhage/Diffuse Alveolar Hemorrhage,Idiopathic Pulmonary Hemosiderosis
Pulmonary Hemorrhage/Diffuse Alveolar Hemorrhage,Isolated Pulmonary Capillaritis
Interstitial Lung Disease/Infiltrative Lung Disease/Diffuse Parenchymal Lung Disease/Immunologic Lung Disease,Immunologic Lung Diseases
Immunologic Lung Diseases,Extrinsic Allergic Alveolitis/Hypersensitivity Pneumonitis (synon terms)
Immunologic Lung Diseases,Mixed Connective Tissue Diseases
Immunologic Lung Diseases,Behcet's Disease/Syndrome
Immunologic Lung Diseases,Rheumatoid Arthritis/Rheumatoid Disease
Immunologic Lung Diseases,Sjorgen's Syndrome
Immunologic Lung Diseases,Systemic Lupus Erythematosus (SLE)
Immunologic Lung Diseases,Systemic Sclerosis/Scleroderma
Immunologic Lung Diseases,Glomerulonephritis
Immunologic Lung Diseases,Goodpasture's Syndrome
Immunologic Lung Diseases,Henoch-Schoenlein Purpura
Immunologic Lung Diseases,Lymphangiomatosis
Immunologic Lung Diseases,Microscopic Polyangiitis
Pulmonary Medicine,Disorders of Pulmonary Circulation/Disorders of Pulmonary Vasculature
Disorders of Pulmonary Circulation/Disorders of Pulmonary Vasculature,Diseases of Pulmonary Vasculature
Diseases of Pulmonary Vasculature,Vascular Varicosities
Diseases of Pulmonary Vasculature,Pulmonary Artery Aneurysms
